Country,Date,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Refugees from Ukraine recorded in country,Border crossings from Ukraine*,Border crossings to Ukraine**
Belarus,08/16/22,Not applicable,11408,16689,Data not available
Russian Federation,08/16/22,Not applicable,2197679,2197679,Data not available
